_type,url,date,text,renderedContent,id,user,replyCount,retweetCount,likeCount,quoteCount,conversationId,lang,source,sourceUrl,sourceLabel,outlinks,tcooutlinks,media,retweetedTweet,quotedTweet,inReplyToTweetId,inReplyToUser,mentionedUsers,coordinates,place,hashtags,cashtags
snscrape.modules.twitter.Tweet,https://twitter.com/GovJanetMills/status/1426186980224770057,2021-08-13 14:20:48+00:00,I am so proud of them and I can’t wait to see what they do next. Congratulations on this milestone. 3/3,I am so proud of them and I can’t wait to see what they do next. Congratulations on this milestone. 3/3,1.43E+18,Mills,4,0,16,0,1.43E+18,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,,,,,,1.43E+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'GovJanetMills', 'id': 1083795319027089408, 'displayname': 'Governor Janet Mills', 'description': 'The official tweets of Maine’s 75th Governor, Janet T. Mills. Tweets will be archived.', 'rawDescription': 'The official tweets of Maine’s 75th Governor, Janet T. Mills. Tweets will be archived.', 'descriptionUrls': None, 'verified': True, 'created': '2019-01-11T18:38:34+00:00', 'followersCount': 19823, 'friendsCount': 124, 'statusesCount': 624, 'favouritesCount': 11, 'listedCount': 349, 'mediaCount': 178, 'location': 'Augusta, ME', 'protected': False, 'linkUrl': 'https://www.maine.gov/governor/mills/', 'linkTcourl': 'https://t.co/8XzZHZbNgP', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1184191196437966848/-1FsAEoB_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1083795319027089408/1547232140', 'url': 'https://twitter.com/GovJanetMills'}",,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/GovJanetMills/status/1426186909303275528,2021-08-13 14:20:31+00:00,"Students began this program in January of 2020, just before a pandemic would change the way they went to school, the way they saw their friends, the way they worked. Despite the challenges, they not only stuck with it, but they persevered to learn leadership and life skills. 2/","Students began this program in January of 2020, just before a pandemic would change the way they went to school, the way they saw their friends, the way they worked. Despite the challenges, they not only stuck with it, but they persevered to learn leadership and life skills. 2/",1.43E+18,Mills,3,0,16,0,1.43E+18,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,,,,,,1.43E+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'GovJanetMills', 'id': 1083795319027089408, 'displayname': 'Governor Janet Mills', 'description': 'The official tweets of Maine’s 75th Governor, Janet T. Mills. Tweets will be archived.', 'rawDescription': 'The official tweets of Maine’s 75th Governor, Janet T. Mills. Tweets will be archived.', 'descriptionUrls': None, 'verified': True, 'created': '2019-01-11T18:38:34+00:00', 'followersCount': 19823, 'friendsCount': 124, 'statusesCount': 624, 'favouritesCount': 11, 'listedCount': 349, 'mediaCount': 178, 'location': 'Augusta, ME', 'protected': False, 'linkUrl': 'https://www.maine.gov/governor/mills/', 'linkTcourl': 'https://t.co/8XzZHZbNgP', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1184191196437966848/-1FsAEoB_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1083795319027089408/1547232140', 'url': 'https://twitter.com/GovJanetMills'}",,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/GovJanetMills/status/1426186537000001536,2021-08-13 14:19:02+00:00,"Yesterday I was pleased to congratulate the 2021 graduates of the LearningWorks YouthBuild program, a program that helps young people who need an alternative to traditional high school successfully transition to adulthood. 1/ https://t.co/FDKCWEvyMf","Yesterday I was pleased to congratulate the 2021 graduates of the LearningWorks YouthBuild program, a program that helps young people who need an alternative to traditional high school successfully transition to adulthood. 1/ https://t.co/FDKCWEvyMf",1.43E+18,Mills,7,4,61,2,1.43E+18,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,,,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/E8rU-40UUAESZPn?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/E8rU-40UUAESZPn?format=jpg&name=large'}]",,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/GovJanetMills/status/1424798820450267136,2021-08-09 18:24:44+00:00,"For information on getting a COVID-19 vaccine, visit https://t.co/OZMiemjkAl or call the Community Vaccination Line at 1-888-445-4111. 5/5","For information on getting a COVID-19 vaccine, visit Maine.gov/covid19/vaccin… or call the Community Vaccination Line at 1-888-445-4111. 5/5",1.42E+18,Mills,12,57,404,0,1.42E+18,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,['http://Maine.gov/covid19/vaccines'],['https://t.co/OZMiemjkAl'],,,,1.42E+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'GovJanetMills', 'id': 1083795319027089408, 'displayname': 'Governor Janet Mills', 'description': 'The official tweets of Maine’s 75th Governor, Janet T. Mills. Tweets will be archived.', 'rawDescription': 'The official tweets of Maine’s 75th Governor, Janet T. Mills. Tweets will be archived.', 'descriptionUrls': None, 'verified': True, 'created': '2019-01-11T18:38:34+00:00', 'followersCount': 19823, 'friendsCount': 124, 'statusesCount': 624, 'favouritesCount': 11, 'listedCount': 349, 'mediaCount': 178, 'location': 'Augusta, ME', 'protected': False, 'linkUrl': 'https://www.maine.gov/governor/mills/', 'linkTcourl': 'https://t.co/8XzZHZbNgP', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1184191196437966848/-1FsAEoB_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1083795319027089408/1547232140', 'url': 'https://twitter.com/GovJanetMills'}",,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/GovJanetMills/status/1424798641156288512,2021-08-09 18:24:02+00:00,"If you haven’t had your shot yet, I encourage you to talk to your doctor about how getting vaccinated can protect your health and potentially save your life. 4/","If you haven’t had your shot yet, I encourage you to talk to your doctor about how getting vaccinated can protect your health and potentially save your life. 4/",1.42E+18,Mills,13,54,570,2,1.42E+18,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,,,,,,1.42E+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'GovJanetMills', 'id': 1083795319027089408, 'displayname': 'Governor Janet Mills', 'description': 'The official tweets of Maine’s 75th Governor, Janet T. Mills. Tweets will be archived.', 'rawDescription': 'The official tweets of Maine’s 75th Governor, Janet T. Mills. Tweets will be archived.', 'descriptionUrls': None, 'verified': True, 'created': '2019-01-11T18:38:34+00:00', 'followersCount': 19823, 'friendsCount': 124, 'statusesCount': 624, 'favouritesCount': 11, 'listedCount': 349, 'mediaCount': 178, 'location': 'Augusta, ME', 'protected': False, 'linkUrl': 'https://www.maine.gov/governor/mills/', 'linkTcourl': 'https://t.co/8XzZHZbNgP', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1184191196437966848/-1FsAEoB_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1083795319027089408/1547232140', 'url': 'https://twitter.com/GovJanetMills'}",,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/GovJanetMills/status/1424798553575084058,2021-08-09 18:23:41+00:00,"We know that vaccinations are the best tool to protect the health of Maine people, and with the more contagious and deadly Delta variant spreading across Maine and the nation, it is crucial that we continue to make progress and fight back against this pandemic. 3/","We know that vaccinations are the best tool to protect the health of Maine people, and with the more contagious and deadly Delta variant spreading across Maine and the nation, it is crucial that we continue to make progress and fight back against this pandemic. 3/",1.42E+18,Mills,10,59,690,1,1.42E+18,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,,,,,,1.42E+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'GovJanetMills', 'id': 1083795319027089408, 'displayname': 'Governor Janet Mills', 'description': 'The official tweets of Maine’s 75th Governor, Janet T. Mills. Tweets will be archived.', 'rawDescription': 'The official tweets of Maine’s 75th Governor, Janet T. Mills. Tweets will be archived.', 'descriptionUrls': None, 'verified': True, 'created': '2019-01-11T18:38:34+00:00', 'followersCount': 19823, 'friendsCount': 124, 'statusesCount': 624, 'favouritesCount': 11, 'listedCount': 349, 'mediaCount': 178, 'location': 'Augusta, ME', 'protected': False, 'linkUrl': 'https://www.maine.gov/governor/mills/', 'linkTcourl': 'https://t.co/8XzZHZbNgP', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1184191196437966848/-1FsAEoB_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1083795319027089408/1547232140', 'url': 'https://twitter.com/GovJanetMills'}",,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/GovJanetMills/status/1424798474357248001,2021-08-09 18:23:22+00:00,I applaud Maine people for their willingness to roll up their sleeves and get their shot. 2/,I applaud Maine people for their willingness to roll up their sleeves and get their shot. 2/,1.42E+18,Mills,12,62,996,2,1.42E+18,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,,,,,,1.42E+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'GovJanetMills', 'id': 1083795319027089408, 'displayname': 'Governor Janet Mills', 'description': 'The official tweets of Maine’s 75th Governor, Janet T. Mills. Tweets will be archived.', 'rawDescription': 'The official tweets of Maine’s 75th Governor, Janet T. Mills. Tweets will be archived.', 'descriptionUrls': None, 'verified': True, 'created': '2019-01-11T18:38:34+00:00', 'followersCount': 19823, 'friendsCount': 124, 'statusesCount': 624, 'favouritesCount': 11, 'listedCount': 349, 'mediaCount': 178, 'location': 'Augusta, ME', 'protected': False, 'linkUrl': 'https://www.maine.gov/governor/mills/', 'linkTcourl': 'https://t.co/8XzZHZbNgP', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1184191196437966848/-1FsAEoB_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1083795319027089408/1547232140', 'url': 'https://twitter.com/GovJanetMills'}",,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/GovJanetMills/status/1424798402521427971,2021-08-09 18:23:05+00:00,I am proud to announce that we have achieved another vaccination milestone: 80 percent of adults (18+) in Maine have received at least one dose of a COVID-19 vaccine. 1/,I am proud to announce that we have achieved another vaccination milestone: 80 percent of adults (18+) in Maine have received at least one dose of a COVID-19 vaccine. 1/,1.42E+18,Mills,369,1311,13363,258,1.42E+18,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/GovJanetMills/status/1420784326287843331,2021-07-29 16:32:34+00:00,"Congratulations to the Ararat All-Stars who will be the first team to represent Maine in the 12U Cal Ripken World Series in at least 25 years! Your hard work to reach this milestone makes us all proud. We’ll be cheering you on in August, good luck!  https://t.co/6fcAION50j","Congratulations to the Ararat All-Stars who will be the first team to represent Maine in the 12U Cal Ripken World Series in at least 25 years! Your hard work to reach this milestone makes us all proud. We’ll be cheering you on in August, good luck!  pressherald.com/2021/07/23/ara…",1.42E+18,Mills,6,4,34,0,1.42E+18,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,['https://www.pressherald.com/2021/07/23/ararat-dominates-noble-to-secure-12u-cal-ripken-new-england-title/'],['https://t.co/6fcAION50j'],,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/GovJanetMills/status/1411765883140194305,2021-07-04 19:16:30+00:00,"If you haven’t been vaccinated already, there’s still no better time to take this critical step to help Maine put the pandemic behind us. To find a vaccination site near you, visit the State’s vaccination website or call the Community Vaccination Line at 1-888-445-4111. 2/2","If you haven’t been vaccinated already, there’s still no better time to take this critical step to help Maine put the pandemic behind us. To find a vaccination site near you, visit the State’s vaccination website or call the Community Vaccination Line at 1-888-445-4111. 2/2",1.41E+18,Mills,20,11,38,3,1.41E+18,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,,,,1.41E+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'GovJanetMills', 'id': 1083795319027089408, 'displayname': 'Governor Janet Mills', 'description': 'The official tweets of Maine’s 75th Governor, Janet T. Mills. Tweets will be archived.', 'rawDescription': 'The official tweets of Maine’s 75th Governor, Janet T. Mills. Tweets will be archived.', 'descriptionUrls': None, 'verified': True, 'created': '2019-01-11T18:38:34+00:00', 'followersCount': 19823, 'friendsCount': 124, 'statusesCount': 624, 'favouritesCount': 11, 'listedCount': 349, 'mediaCount': 178, 'location': 'Augusta, ME', 'protected': False, 'linkUrl': 'https://www.maine.gov/governor/mills/', 'linkTcourl': 'https://t.co/8XzZHZbNgP', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1184191196437966848/-1FsAEoB_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1083795319027089408/1547232140', 'url': 'https://twitter.com/GovJanetMills'}",,,,,
