_type,url,date,text,renderedContent,id,user,replyCount,retweetCount,likeCount,quoteCount,conversationId,lang,source,sourceUrl,sourceLabel,outlinks,tcooutlinks,media,retweetedTweet,quotedTweet,inReplyToTweetId,inReplyToUser,mentionedUsers,coordinates,place,hashtags,cashtags
snscrape.modules.twitter.Tweet,https://twitter.com/RepMaxineWaters/status/1426612445598994437,2021-08-14 18:31:26+00:00,"With Haiti dealing with the aftermath of this earthquake, I ask the people of our country to stand with Haiti and do everything possible to make sure there is food, water, and vaccines at this very difficult time. The people of Haiti are in my prayers.","With Haiti dealing with the aftermath of this earthquake, I ask the people of our country to stand with Haiti and do everything possible to make sure there is food, water, and vaccines at this very difficult time. The people of Haiti are in my prayers.",1.43E+18,Waters,64,153,876,4,1.43E+18,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,,,,1.43E+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'RepMaxineWaters', 'id': 36686040, 'displayname': 'Maxine Waters', 'description': ""Proudly serving the people of California's 43rd District in Congress. Chairwoman of the House Financial Services Committee (@FSCDems)."", 'rawDescription': ""Proudly serving the people of California's 43rd District in Congress. Chairwoman of the House Financial Services Committee (@FSCDems)."", 'descriptionUrls': None, 'verified': True, 'created': '2009-04-30T15:17:45+00:00', 'followersCount': 1677334, 'friendsCount': 691, 'statusesCount': 3387, 'favouritesCount': 1331, 'listedCount': 7437, 'mediaCount': 299, 'location': 'Los Angeles/Washington, D.C.', 'protected': False, 'linkUrl': 'http://waters.house.gov', 'linkTcourl': 'https://t.co/ODIbQQR7g9', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/851658655036583937/Jy4zSIar_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/36686040/1434477112', 'url': 'https://twitter.com/RepMaxineWaters'}",,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/RepMaxineWaters/status/1426612444298838017,2021-08-14 18:31:26+00:00,"I am devastated by the news that Haiti has been hit by a 7.2 earthquake. At a time when Haiti is without an organized government and suffering greatly from COVID-19, the damage is unspeakable. We must do everything we can to get humanitarian support to Haiti now!","I am devastated by the news that Haiti has been hit by a 7.2 earthquake. At a time when Haiti is without an organized government and suffering greatly from COVID-19, the damage is unspeakable. We must do everything we can to get humanitarian support to Haiti now!",1.43E+18,Waters,211,756,3825,38,1.43E+18,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/RepMaxineWaters/status/1423663551881809925,2021-08-06 15:13:35+00:00,"Fighting to insist states &amp; cities do a much better job with the $46.6 BILLION we sent to them for rental assistance. Repeating my tweet from July 31, I’m going to fight until my last breath to protect the renters &amp; the landlords - the small landlords in particular!","Fighting to insist states &amp; cities do a much better job with the $46.6 BILLION we sent to them for rental assistance. Repeating my tweet from July 31, I’m going to fight until my last breath to protect the renters &amp; the landlords - the small landlords in particular!",1.42E+18,Waters,163,322,1250,17,1.42E+18,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/RepMaxineWaters/status/1423321110687502345,2021-08-05 16:32:51+00:00,"One of the greatest labor leaders in the country has died. Trumka was not only a friend to me &amp; so many others who have fought for years to support organized labor &amp; the ability to protect working people, but he was a forceful, unapologetic voice that resonated around the world.","One of the greatest labor leaders in the country has died. Trumka was not only a friend to me &amp; so many others who have fought for years to support organized labor &amp; the ability to protect working people, but he was a forceful, unapologetic voice that resonated around the world.",1.42E+18,Waters,45,108,687,5,1.42E+18,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/RepMaxineWaters/status/1423317549920497666,2021-08-05 16:18:42+00:00,"So proud of @Simone_Biles who has displayed courage, confidence, &amp; extraordinary talent! Some have said our young people aren't using all of their God-given intellect &amp; talent for success, but they're wrong! It doesn't get any better than what Simone has shown us. You go, girl!","So proud of @Simone_Biles who has displayed courage, confidence, &amp; extraordinary talent! Some have said our young people aren't using all of their God-given intellect &amp; talent for success, but they're wrong! It doesn't get any better than what Simone has shown us. You go, girl!",1.42E+18,Waters,66,249,2144,11,1.42E+18,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,,,,,,,,"[{'_type': 'snscrape.modules.twitter.User', 'username': 'Simone_Biles', 'id': 173677727, 'displayname': 'Simone Biles', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/Simone_Biles'}]",,,,
snscrape.modules.twitter.Tweet,https://twitter.com/RepMaxineWaters/status/1422723481851080705,2021-08-04 00:58:05+00:00,"My colleagues &amp; I just accomplished something life changing for families &amp; children who were facing eviction. The CDC’s extension of the moratorium is a temporary solution, but we’ll keep working so everyone has a roof over their head. Emergency rental $$ must get out ASAP!","My colleagues &amp; I just accomplished something life changing for families &amp; children who were facing eviction. The CDC’s extension of the moratorium is a temporary solution, but we’ll keep working so everyone has a roof over their head. Emergency rental $$ must get out ASAP!",1.42E+18,Waters,543,1159,7647,75,1.42E+18,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/RepMaxineWaters/status/1422620707574452224,2021-08-03 18:09:42+00:00,"The Supreme Court DID NOT rule on or even take up the case on the legality of the CDC eviction moratorium. Every minute wasted means another family could be forced onto the streets. Biden, #ExtendTheMoratorium now!","The Supreme Court DID NOT rule on or even take up the case on the legality of the CDC eviction moratorium. Every minute wasted means another family could be forced onto the streets. Biden, #ExtendTheMoratorium now!",1.42E+18,Waters,249,404,1502,50,1.42E+18,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,,,,,,,,,,,['ExtendTheMoratorium'],
snscrape.modules.twitter.Tweet,https://twitter.com/RepMaxineWaters/status/1422403720143417366,2021-08-03 03:47:28+00:00,"It’s late, but I won’t rest while we face an #EvictionEmergency! I just sent a letter to @SpeakerPelosi standing with her in our demand that Biden immediately direct the CDC to extend the eviction moratorium. This isn’t just a moral imperative, it’s a public health imperative! https://t.co/3Viet8O055","It’s late, but I won’t rest while we face an #EvictionEmergency! I just sent a letter to @SpeakerPelosi standing with her in our demand that Biden immediately direct the CDC to extend the eviction moratorium. This isn’t just a moral imperative, it’s a public health imperative! https://t.co/3Viet8O055",1.42E+18,Waters,263,503,1929,40,1.42E+18,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,,,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/E71kG1BXsCUfPP2?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/E71kG1BXsCUfPP2?format=jpg&name=large'}, {'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/E71kG1BXsCsuelU?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/E71kG1BXsCsuelU?format=jpg&name=large'}]",,,,,"[{'_type': 'snscrape.modules.twitter.User', 'username': 'SpeakerPelosi', 'id': 15764644, 'displayname': 'Nancy Pelosi', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/SpeakerPelosi'}]",,,['EvictionEmergency'],
snscrape.modules.twitter.Tweet,https://twitter.com/RepMaxineWaters/status/1422290902047985668,2021-08-02 20:19:10+00:00,I don't buy that the CDC can't extend the eviction moratorium - something it has already done in the past! Who is going to stop them? Who is going to penalize them? There is no official ruling saying that they cannot extend this moratorium. C'mon CDC - have a heart! Just do it!,I don't buy that the CDC can't extend the eviction moratorium - something it has already done in the past! Who is going to stop them? Who is going to penalize them? There is no official ruling saying that they cannot extend this moratorium. C'mon CDC - have a heart! Just do it!,1.42E+18,Waters,2440,2709,13925,724,1.42E+18,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/RepMaxineWaters/status/1421515057599590406,2021-07-31 16:56:14+00:00,I’m NOT stopping! I’m going to fight until my last breath in order to protect these renters and these small landlords. Extend the #EvictionMoratorium! https://t.co/TH8VyfVzIS,I’m NOT stopping! I’m going to fight until my last breath in order to protect these renters and these small landlords. Extend the #EvictionMoratorium! https://t.co/TH8VyfVzIS,1.42E+18,Waters,1011,1429,7437,271,1.42E+18,en,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",https://studio.twitter.com,Twitter Media Studio,,,"[{'_type': 'snscrape.modules.twitter.Video', 'thumbnailUrl': 'https://pbs.twimg.com/media/E7o8S4cWEAU4iHS.jpg', 'variants': [{'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1421514664802934791/vid/480x270/Jsl14nFPc5DmC1Mk.mp4?tag=14', 'bitrate': 288000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1421514664802934791/vid/1280x720/Y6qUf5sgdypnLrxA.mp4?tag=14', 'bitrate': 2176000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1421514664802934791/pl/drRbaTBWFz_ikrm3.m3u8?tag=14&v=4ae', 'bitrate': None}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1421514664802934791/vid/640x360/eI9JOhNjQSfT8FPV.mp4?tag=14', 'bitrate': 832000}], 'duration': 363.033, 'views': 699217}]",,,,,,,,['EvictionMoratorium'],
